,trees,crashes,pc,shootings,arrests,programs,bins
std,292.74181669267296,2099.3491807815167,1.2371651226819125,63.29116905446192,11673.200819378279,3.304171100114061,2.4819885257101344
mean,885.7391304347826,3306.304347826087,1.1487414187643021,59.85354691075515,13664.228832951945,3.208237986270023,1.3386727688787186
