,Unnamed: 0,dbn,school_name,borough,latitude,longitude,location,avg_perc Grads,latitude_rad,longitude_rad,trees,crashes,pc,shootings,arrests,programs,bins
0,0,01M292,Henry Street School for International Studies,Manhattan,40.713684,-73.986336,"(40.713684, -73.986336)",60.27608695652174,0.710587836416535,-1.2913051646868112,-0.6037372194773506,-0.023961877464977212,3.1129705409791892,-0.2662859157531552,0.7707201569009954,4.1740459545977755,-0.13645218959335
1,1,01M448,University Neighborhood High School,Manhattan,40.712399,-73.984497,"(40.712399, -73.984497)",76.075,0.7105654089356469,-1.2912730680818674,-1.037566596622084,-0.6027126689591757,3.1129705409791892,-0.32948588598214573,0.2748835744966611,2.660807127520268,-0.5393549385953362
2,2,01M450,East Side Community School,Manhattan,40.729589,-73.982555,"(40.729589, -73.982555)",79.26730769230768,0.7108654310340646,-1.2912391737877935,1.0530127641068672,0.43808607953039114,2.304671000629869,-0.7086857073560889,-0.09673686338689139,-0.3656705266347479,0.6693533084106223
3,3,01M509,Marta Valle High School,Manhattan,40.720581,-73.985645,"(40.720581, -73.985645)",58.33269230769231,0.7107082117750452,-1.2912931044616802,0.9061256521602252,2.0266736430144667,1.496371460280549,-0.20308594552416467,1.077405534407477,2.9634548929357694,0.26645055940863616
4,4,01M539,"New Explorations into Science, Technology and Math High School",Manhattan,40.718895,-73.979308,"(40.718895, -73.979308)",97.88653846153846,0.7106787855238565,-1.2911825029469812,-0.7574562901191852,0.0022367180347601687,3.1129705409791892,0.23931384607876907,0.5098662534073538,0.2396250041962552,3.0867698024225394
5,5,01M696,Bard High School Early College,Manhattan,40.719029,-73.975891,"(40.719029, -73.975891)",97.42884615384617,0.7106811242650541,-1.2911228650464406,-1.9428011237351102,-0.5407887159597965,1.496371460280549,-0.18728595296691702,0.0666287832345781,-0.970966057465751,3.4896725514245257
6,6,02M047,47 The American Sign Language and English Secondary School,Manhattan,40.738548,-73.982455,"(40.738548, -73.982455)",62.79807692307692,0.7110217950817509,-1.2912374284585415,1.3706988434333254,2.046679843214266,0.6880719199312288,-0.6928857147988413,1.2455684941966458,-0.970966057465751,-0.13645218959335
7,7,02M135,The Urban Assembly School for Emergency Management,Manhattan,40.711442,-74.000851,"(40.711442, -74.000851)",70.85,0.7105487061347053,-1.2915584992277382,-1.4133243248576797,0.5285903185294839,1.496371460280549,-0.5032858041118697,0.7369676321139692,-0.06302276121924635,7.5187000414443865
8,8,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,40.76337,-73.990593,"(40.76337, -73.990593)",82.7,0.7114550207086809,-1.2913794633530689,1.2203957521390871,1.7165775399175753,-0.12022762041809114,-0.7718856775850794,0.8793450336267549,-0.970966057465751,-0.13645218959335
9,9,02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,40.753091,-73.99764,"(40.753091, -73.99764)",,0.7112756183148684,-1.291502456705457,-1.3415887585581567,2.7626160075070896,-0.9285271607674112,-0.6296857445698507,2.1929521785106636,-0.970966057465751,-0.13645218959335
10,10,02M280,Manhattan Early College School for Advertising,Manhattan,40.711442,-74.000851,"(40.711442, -74.000851)",,0.7105487061347053,-1.2915584992277382,-1.4133243248576797,0.5285903185294839,1.496371460280549,-0.5032858041118697,0.7369676321139692,-0.06302276121924635,7.5187000414443865
11,11,02M282,Urban Assembly Maker Academy,Manhattan,40.711442,-74.000851,"(40.711442, -74.000851)",,0.7105487061347053,-1.2915584992277382,-1.4133243248576797,0.5285903185294839,1.496371460280549,-0.5032858041118697,0.7369676321139692,-0.06302276121924635,7.5187000414443865
12,12,02M288,Food and Finance High School,Manhattan,40.765184,-73.992953,"(40.765184, -73.992953)",80.99130434782609,0.7114866809813121,-1.2914206531234158,0.5508638000102074,1.0144551805246136,0.6880719199312288,-0.787685670142327,-0.5738125246532593,-0.970966057465751,-0.5393549385953362
13,13,02M294,Essex Street Academy,Manhattan,40.716778,-73.989337,"(40.716778, -73.989337)",75.03260869565217,0.7106418369035917,-1.2913575420176635,0.4073926674111617,2.289612274211831,-0.12022762041809114,-0.6296857445698507,1.818761751430129,2.0555115966892648,0.26645055940863616
14,14,02M296,High School of Hospitality Management,Manhattan,40.765184,-73.992953,"(40.765184, -73.992953)",79.16976744186047,0.7114866809813121,-1.2914206531234158,0.5508638000102074,1.0144551805246136,0.6880719199312288,-0.787685670142327,-0.5738125246532593,-0.970966057465751,-0.5393549385953362
15,15,02M298,Pace High School,Manhattan,40.716553,-73.993092,"(40.716553, -73.993092)",90.66511627906976,0.7106379099127748,-1.291423079131076,-0.29971505754127764,3.3628020135010734,1.496371460280549,-0.6296857445698507,1.7659056402788724,1.4502160658582617,0.26645055940863616
16,16,02M300,"Urban Assembly School of Design and Construction, The",Manhattan,40.765184,-73.992953,"(40.765184, -73.992953)",66.56739130434782,0.7114866809813121,-1.2914206531234158,0.5508638000102074,1.0144551805246136,0.6880719199312288,-0.787685670142327,-0.5738125246532593,-0.970966057465751,-0.5393549385953362
17,17,02M303,"Facing History School, The",Manhattan,40.765184,-73.992953,"(40.765184, -73.992953)",65.0625,0.7114866809813121,-1.2914206531234158,0.5508638000102074,1.0144551805246136,0.6880719199312288,-0.787685670142327,-0.5738125246532593,-0.970966057465751,-0.5393549385953362
