,dbn,school_name,borough,location,trees,crashes,pc,shootings,arrests,programs,bins
74,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,"(40.773629, -73.985273)",98.0,8.0,5.0,7.0,21.0,0.0,2.0
75,03M492,"High School for Law, Advocacy and Community Justice",Manhattan,"(40.774351, -73.984753)",88.0,7.0,5.0,7.0,20.0,0.0,2.0
76,08X320,Pelham Lab High School,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
77,03M494,High School of Arts and Technology,Manhattan,"(40.774351, -73.984753)",88.0,7.0,5.0,7.0,20.0,0.0,2.0
78,03M541,Manhattan / Hunter Science High School,Manhattan,"(40.774351, -73.984753)",88.0,7.0,5.0,7.0,20.0,0.0,2.0
79,03M859,Special Music School,Manhattan,"(40.774919, -73.982745)",65.0,13.0,4.0,7.0,23.0,0.0,3.0
80,12X479,Bronx Career and College Preparatory High School,Bronx,"(40.827743, -73.900105)",,,,,,,
81,03M860,Frederick Douglass Academy II Secondary School,Manhattan,"(40.802207, -73.954142)",57.0,33.0,1.0,59.0,28.0,1.0,3.0
82,04M372,ESPERANZA PREPARATORY ACADEMY,Manhattan,"(40.79307, -73.942303)",3.0,28.0,5.0,67.0,40.0,1.0,1.0
83,04M409,Coalition School for Social Change,Manhattan,"(40.798884, -73.933319)",0.0,35.0,2.0,45.0,53.0,6.0,1.0
84,04M435,Manhattan Center for Science and Mathematics,Manhattan,"(40.793856, -73.934028)",0.0,16.0,2.0,30.0,36.0,4.0,2.0
85,04M495,Park East High School,Manhattan,"(40.790543, -73.944356)",30.0,32.0,4.0,80.0,71.0,0.0,1.0
86,04M555,Central Park East High School,Manhattan,"(40.793763, -73.949381)",3.0,27.0,2.0,64.0,47.0,2.0,0.0
87,04M610,Young Women's Leadership School,Manhattan,"(40.792741, -73.947428)",3.0,32.0,4.0,79.0,76.0,2.0,0.0
88,04M680,"Heritage School, The",Manhattan,"(40.791881, -73.946558)",19.0,36.0,4.0,80.0,74.0,2.0,0.0
89,05M148,Eagle Academy for Young Men of Harlem,Manhattan,"(40.817372, -73.947712)",,,,,,,
90,05M157,The Urban Assembly School for Global Commerce,Manhattan,"(40.807383, -73.939433)",0.0,34.0,3.0,66.0,81.0,1.0,3.0
91,05M304,Mott Hall High School,Manhattan,"(40.817372, -73.947712)",2.0,22.0,0.0,58.0,53.0,0.0,3.0
92,05M362,Columbia Secondary School,Manhattan,"(40.810431, -73.955809)",20.0,35.0,3.0,60.0,77.0,2.0,1.0
93,05M367,Academy for Social Action: A College Board School,Manhattan,"(40.815256, -73.955325)",3.0,22.0,4.0,57.0,54.0,1.0,0.0
94,05M369,Urban Assembly School for the Performing Arts,Manhattan,"(40.815256, -73.955325)",3.0,22.0,4.0,57.0,54.0,1.0,0.0
95,05M499,Frederick Douglass Academy,Manhattan,"(40.824319, -73.93712)",0.0,30.0,3.0,42.0,26.0,1.0,3.0
96,05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,"(40.815509, -73.944202)",1.0,25.0,6.0,84.0,69.0,2.0,2.0
97,05M692,"High School for Mathematics, Science and Engineering at City College",Manhattan,"(40.82074, -73.949097)",3.0,11.0,0.0,43.0,27.0,1.0,2.0
98,06M211,Inwood Early College for Health and Information Technologies,Manhattan,"(40.866053, -73.924835)",,,,,,,
99,06M293,City College Academy of the Arts,Manhattan,"(40.86079, -73.930672)",8.0,13.0,1.0,27.0,15.0,5.0,1.0
100,06M346,Community Health Academy of the Heights,Manhattan,"(40.833687, -73.942072)",37.0,34.0,4.0,36.0,32.0,0.0,1.0
101,06M348,Washington Heights Expeditionary Learning School,Manhattan,"(40.848908, -73.930948)",0.0,33.0,1.0,23.0,54.0,5.0,1.0
102,06M423,High School for Excellence and Innovation,Manhattan,"(40.866053, -73.924835)",8.0,26.0,1.0,36.0,30.0,6.0,2.0
103,06M462,The College Academy,Manhattan,"(40.855954, -73.927051)",1.0,9.0,0.0,29.0,21.0,8.0,0.0
104,06M463,High School for Media and Communications,Manhattan,"(40.855954, -73.927051)",1.0,9.0,0.0,29.0,21.0,8.0,0.0
105,06M467,High School for Law and Public Service,Manhattan,"(40.855954, -73.927051)",1.0,9.0,0.0,29.0,21.0,8.0,0.0
106,06M468,High School for Health Careers and Sciences,Manhattan,"(40.855954, -73.927051)",1.0,9.0,0.0,29.0,21.0,8.0,0.0
107,06M540,A. Philip Randolph Campus High School,Manhattan,"(40.818188, -73.950356)",2.0,20.0,1.0,45.0,24.0,0.0,2.0
108,06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,"(nan, nan)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,07X221,South Bronx Preparatory: A College Board School,Bronx,"(40.813983, -73.920782)",3.0,26.0,2.0,90.0,108.0,9.0,1.0
110,07X223,M.S. 223 The Laboratory School of Finance and Technology,Bronx,"(40.813983, -73.920782)",3.0,26.0,2.0,90.0,108.0,9.0,1.0
111,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,"(40.810803, -73.907015)",0.0,24.0,0.0,18.0,15.0,0.0,2.0
112,07X334,International Community High School,Bronx,"(40.81004, -73.917792)",3.0,18.0,3.0,98.0,42.0,6.0,2.0
113,07X427,Community School for Social Justice,Bronx,"(40.815938, -73.930386)",0.0,24.0,0.0,9.0,11.0,4.0,0.0
114,07X473,Mott Haven Village Preparatory High School,Bronx,"(40.81825, -73.91103)",4.0,23.0,1.0,73.0,87.0,6.0,2.0
115,07X495,University Heights Secondary School,Bronx,"(40.81825, -73.91103)",4.0,23.0,1.0,73.0,87.0,6.0,2.0
116,07X500,Hostos-Lincoln Academy of Science,Bronx,"(40.815498, -73.91224)",0.0,24.0,3.0,44.0,83.0,11.0,4.0
117,07X520,Foreign Language Academy of Global Studies,Bronx,"(40.811162, -73.909804)",0.0,24.0,3.0,36.0,14.0,1.0,4.0
118,07X522,Bronx Design and Construction Academy,Bronx,"(40.818232, -73.919867)",0.0,33.0,3.0,46.0,112.0,8.0,1.0
119,07X527,Bronx Leadership Academy II High School,Bronx,"(40.82231, -73.923829)",0.0,22.0,1.0,42.0,15.0,0.0,1.0
120,07X547,New Explorers High School,Bronx,"(40.82231, -73.923829)",0.0,22.0,1.0,42.0,15.0,0.0,1.0
121,07X548,Urban Assembly School for Careers in Sports,Bronx,"(40.82231, -73.923829)",0.0,22.0,1.0,42.0,15.0,0.0,1.0
122,07X551,The Urban Assembly Bronx Academy of Letters,Bronx,"(40.813641, -73.925313)",0.0,22.0,4.0,82.0,90.0,6.0,0.0
123,07X600,Alfred E. Smith Career and Technical Education High School,Bronx,"(40.818232, -73.919867)",0.0,33.0,3.0,46.0,112.0,8.0,1.0
124,07X670,Health Opportunities High School,Bronx,"(40.815938, -73.930386)",0.0,24.0,0.0,9.0,11.0,4.0,0.0
125,08X269,Bronx Studio School for Writers and Artists,Bronx,"(40.820579, -73.893128)",0.0,47.0,1.0,74.0,66.0,9.0,1.0
126,08X282,Women's Academy of Excellence,Bronx,"(40.814833, -73.85658)",8.0,0.0,0.0,7.0,4.0,5.0,0.0
127,08X293,Renaissance High School for Musical Theater & Technology,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
128,08X305,Pablo Neruda Academy,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
129,08X312,Millennium Art Academy,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
130,08X332,Holcombe L. Rucker School of Community Research,Bronx,"(40.817512, -73.898212)",0.0,32.0,1.0,56.0,79.0,7.0,0.0
131,08X348,Schuylerville Preparatory High School,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
132,08X349,Bronx River High School,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
133,08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,"(40.814833, -73.85658)",8.0,0.0,0.0,7.0,4.0,5.0,0.0
134,08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
135,08X405,Herbert H. Lehman High School,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
136,08X432,BRONX BRIDGES HIGH SCHOOL,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
137,08X452,Bronx Guild,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
138,08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",Bronx,"(40.821146, -73.881479)",1.0,17.0,0.0,15.0,11.0,0.0,3.0
139,08X530,Banana Kelly High School,Bronx,"(40.817512, -73.898212)",0.0,32.0,1.0,56.0,79.0,7.0,0.0
140,08X558,Westchester Square Academy,Bronx,"(40.840702, -73.838545)",9.0,10.0,1.0,2.0,10.0,0.0,2.0
141,08X559,School for Tourism and Hospitality,Bronx,"(40.821675, -73.903546)",4.0,19.0,4.0,66.0,39.0,10.0,0.0
142,08X561,Bronx Compass High School,Bronx,"(40.82229, -73.856167)",0.0,8.0,0.0,16.0,13.0,7.0,1.0
143,09X227,Bronx Collegiate Academy,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
144,09X231,Eagle Academy for Young Men,Bronx,"(40.844958, -73.89705)",34.0,41.0,2.0,50.0,72.0,1.0,2.0
145,09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,"(40.839244, -73.901316)",12.0,21.0,0.0,25.0,12.0,4.0,3.0
146,09X250,Eximius College Preparatory Academy: A College Board School,Bronx,"(40.833665, -73.902499)",15.0,20.0,3.0,69.0,37.0,5.0,0.0
147,09X252,Mott Hall Bronx High School,Bronx,"(40.839244, -73.901316)",12.0,21.0,0.0,25.0,12.0,4.0,3.0
148,09X260,Bronx Center for Science and Mathematics,Bronx,"(40.833665, -73.902499)",15.0,20.0,3.0,69.0,37.0,5.0,0.0
149,09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,"(40.839244, -73.901316)",12.0,21.0,0.0,25.0,12.0,4.0,3.0
150,09X276,Leadership Institute,Bronx,"(40.840891, -73.898166)",12.0,22.0,1.0,35.0,61.0,6.0,5.0
151,09X297,Morris Academy for Collaborative Studies,Bronx,"(40.827642, -73.904473)",8.0,19.0,2.0,76.0,41.0,4.0,0.0
152,09X324,Bronx Early College Academy for Teaching & Learning,Bronx,"(40.828696, -73.917668)",0.0,28.0,2.0,79.0,70.0,0.0,4.0
153,09X327,Comprehensive Model School Project M.S. 327,Bronx,"(40.842495, -73.916082)",48.0,49.0,1.0,61.0,51.0,5.0,1.0
154,09X329,DreamYard Preparatory School,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
155,09X350,New Directions Secondary School,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
156,09X365,Academy for Language and Technology,Bronx,"(40.849623, -73.91607)",40.0,28.0,2.0,57.0,22.0,4.0,1.0
157,09X403,Bronx International High School,Bronx,"(40.827642, -73.904473)",8.0,19.0,2.0,76.0,41.0,4.0,0.0
158,09X404,School for Excellence,Bronx,"(40.827642, -73.904473)",8.0,19.0,2.0,76.0,41.0,4.0,0.0
159,09X412,Bronx High School of Business,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
160,09X413,Bronx High School for Medical Science,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
161,09X505,"Bronx School for Law, Government and Justice",Bronx,"(40.827607, -73.918681)",1.0,28.0,2.0,82.0,74.0,1.0,4.0
162,09X517,Frederick Douglass Academy III Secondary School,Bronx,"(40.833511, -73.90449)",14.0,27.0,4.0,89.0,40.0,5.0,0.0
163,09X525,Bronx Leadership Academy High School,Bronx,"(40.843588, -73.903236)",58.0,43.0,1.0,61.0,73.0,0.0,0.0
164,09X543,High School for Violin and Dance,Bronx,"(40.827642, -73.904473)",8.0,19.0,2.0,76.0,41.0,4.0,0.0
165,09X564,Claremont International HS,Bronx,"(40.840422, -73.91091)",2.0,25.0,1.0,66.0,40.0,7.0,0.0
166,19K422,Spring Creek Community School,Brooklyn,"(40.657459, -73.874756)",,,,,,,
167,09X568,Young Women's Leadership School of the Bronx,Bronx,"(40.848516, -73.908427)",,,,,,,
168,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,"(40.888338, -73.913486)",3.0,7.0,1.0,0.0,1.0,0.0,1.0
169,10X213,Bronx Engineering and Technology Academy,Bronx,"(40.877105, -73.912256)",1.0,10.0,2.0,10.0,4.0,4.0,0.0
170,10X225,Theatre Arts Production Company School,Bronx,"(40.854493, -73.896717)",120.0,32.0,0.0,85.0,78.0,3.0,0.0
171,10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,"(40.875911, -73.901099)",1.0,17.0,0.0,17.0,12.0,1.0,1.0
172,10X243,West Bronx Academy for the Future,Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
173,10X264,Bronx Academy for Software Engineering (BASE),Bronx,"(40.855698, -73.882715)",84.0,16.0,1.0,34.0,16.0,2.0,2.0
174,10X268,Kingsbridge International High School,Bronx,"(40.870293, -73.898309)",20.0,18.0,1.0,29.0,18.0,1.0,1.0
175,10X284,Bronx School of Law and Finance,Bronx,"(40.877105, -73.912256)",1.0,10.0,2.0,10.0,4.0,4.0,0.0
176,10X342,International School for Liberal Arts,Bronx,"(40.870293, -73.898309)",20.0,18.0,1.0,29.0,18.0,1.0,1.0
177,10X351,Bronx Collaborative High School,Bronx,"(40.882178, -73.88691)",5.0,7.0,1.0,8.0,7.0,4.0,1.0
178,10X353,World View High School,Bronx,"(40.882178, -73.88691)",5.0,7.0,1.0,8.0,7.0,4.0,1.0
179,10X368,In-Tech Academy (M.S. / High School 368),Bronx,"(40.879368, -73.909896)",2.0,10.0,3.0,8.0,8.0,4.0,0.0
180,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
181,10X433,High School for Teaching and the Professions,Bronx,"(40.870293, -73.898309)",20.0,18.0,1.0,29.0,18.0,1.0,1.0
182,10X434,Belmont Preparatory High School,Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
183,10X437,Fordham High School for the Arts,Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
184,10X438,Fordham Leadership Academy for Business and Technology,Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
185,10X439,Bronx High School for Law and Community Service,Bronx,"(40.860043, -73.888267)",97.0,17.0,0.0,40.0,33.0,2.0,2.0
186,10X440,DeWitt Clinton High School,Bronx,"(40.882178, -73.88691)",5.0,7.0,1.0,8.0,7.0,4.0,1.0
187,10X442,"Celia Cruz Bronx High School of Music, The",Bronx,"(40.870293, -73.898309)",20.0,18.0,1.0,29.0,18.0,1.0,1.0
188,10X445,Bronx High School of Science,Bronx,"(40.87759, -73.89104)",0.0,4.0,0.0,1.0,6.0,0.0,0.0
189,10X477,Marble Hill High School for International Studies,Bronx,"(40.877105, -73.912256)",1.0,10.0,2.0,10.0,4.0,4.0,0.0
190,10X524,Crotona International High School,Bronx,"(40.855698, -73.882715)",84.0,16.0,1.0,34.0,16.0,2.0,2.0
191,10X546,Bronx Theatre High School,Bronx,"(40.877105, -73.912256)",1.0,10.0,2.0,10.0,4.0,4.0,0.0
192,10X549,Discovery High School,Bronx,"(40.870293, -73.898309)",20.0,18.0,1.0,29.0,18.0,1.0,1.0
193,10X565,High School for Energy and Technology,Bronx,"(40.855698, -73.882715)",84.0,16.0,1.0,34.0,16.0,2.0,2.0
194,10X696,High School of American Studies at Lehman College,Bronx,"(40.873938, -73.895382)",2.0,4.0,0.0,12.0,7.0,0.0,0.0
195,11X249,Bronx Health Sciences High School,Bronx,"(40.874091, -73.833904)",0.0,14.0,0.0,9.0,3.0,2.0,0.0
196,11X253,Bronx High School for Writing and Communication Arts,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
197,11X265,Bronx Lab School,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
198,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,"(40.887831, -73.852694)",3.0,11.0,0.0,76.0,71.0,0.0,0.0
199,11X275,High School of Computers and Technology,Bronx,"(40.875953, -73.86197)",0.0,13.0,2.0,25.0,19.0,3.0,1.0
200,11X288,Collegiate Institute for Math and Science,Bronx,"(40.859665, -73.861006)",1.0,4.0,2.0,24.0,9.0,3.0,0.0
201,11X290,Bronx Academy of Health Careers,Bronx,"(40.875953, -73.86197)",,,,,,,
202,11X299,Astor Collegiate Academy,Bronx,"(40.859665, -73.861006)",,,,,,,
203,11X418,Bronx High School for the Visual Arts,Bronx,"(40.851405, -73.865036)",,,,,,,
204,11X455,Harry S Truman High School,Bronx,"(40.874091, -73.833904)",,,,,,,
205,11X508,Bronxdale High School,Bronx,"(40.859665, -73.861006)",,,,,,,
206,11X509,High School of Language and Innovation,Bronx,"(40.859665, -73.861006)",,,,,,,
207,11X513,New World High School,Bronx,"(40.887831, -73.852694)",3.0,11.0,0.0,76.0,71.0,0.0,0.0
208,11X514,The Bronxwood Preparatory Academy,Bronx,"(40.887831, -73.852694)",,,,,,,
209,11X542,Pelham Preparatory Academy,Bronx,"(40.859665, -73.861006)",,,,,,,
