,latitude,longitude,location
0,40.7402618,-74.005864,"(40.7402618, -74.005864)"
1,40.5829661,-73.9863303,"(40.5829661, -73.9863303)"
2,40.7526874,-74.000527,"(40.7526874, -74.000527)"
3,40.7220898,-73.7579735,"(40.7220898, -73.7579735)"
4,40.763547,-73.9693376,"(40.763547, -73.9693376)"
5,40.6398007,-74.1647383,"(40.6398007, -74.1647383)"
7,40.8894274,-73.8629476,"(40.8894274, -73.8629476)"
8,40.8613639,-73.868497,"(40.8613639, -73.868497)"
9,40.7633655,-73.9592408,"(40.7633655, -73.9592408)"
12,40.7547072,-73.9916334,"(40.7547072, -73.9916334)"
13,40.8379725,-73.870043,"(40.8379725, -73.870043)"
14,40.7357962,-74.0015516,"(40.7357962, -74.0015516)"
15,40.706051,-74.0074516,"(40.706051, -74.0074516)"
16,40.7277946,-73.9372432,"(40.7277946, -73.9372432)"
17,40.8602912,-73.892811,"(40.8602912, -73.892811)"
18,40.6367879,-73.740563,"(40.6367879, -73.740563)"
19,40.6465718,-73.8961633,"(40.6465718, -73.8961633)"
20,40.6543162,-73.9221576,"(40.6543162, -73.9221576)"
21,40.7704335,-73.9601102,"(40.7704335, -73.9601102)"
22,40.6357409,-74.0260387,"(40.6357409, -74.0260387)"
23,40.5857583,-73.9744596,"(40.5857583, -73.9744596)"
24,40.7118249,-73.8361153,"(40.7118249, -73.8361153)"
25,40.6811205,-73.9644216,"(40.6811205, -73.9644216)"
26,40.7635887,-73.9714096,"(40.7635887, -73.9714096)"
27,40.6110361,-74.0995027,"(40.6110361, -74.0995027)"
28,40.664083,-73.9481671,"(40.664083, -73.9481671)"
29,40.691383,-73.9932099,"(40.691383, -73.9932099)"
30,40.5973175,-73.7542631,"(40.5973175, -73.7542631)"
31,40.6664269,-73.936908,"(40.6664269, -73.936908)"
32,40.7535158,-73.9887858,"(40.7535158, -73.9887858)"
33,40.681486,-73.9770225,"(40.681486, -73.9770225)"
34,40.6555198,-74.0064368,"(40.6555198, -74.0064368)"
35,40.7505071,-73.8030068,"(40.7505071, -73.8030068)"
38,40.7765195,-73.91592,"(40.7765195, -73.91592)"
39,40.7533463,-73.7067947,"(40.7533463, -73.7067947)"
40,40.6138389,-73.9814363,"(40.6138389, -73.9814363)"
41,40.7101767,-74.0011362,"(40.7101767, -74.0011362)"
42,40.7482147,-73.9685398,"(40.7482147, -73.9685398)"
43,40.7466595,-73.9900681,"(40.7466595, -73.9900681)"
44,40.6125498,-73.962859,"(40.6125498, -73.962859)"
45,40.738645,-73.8873051,"(40.738645, -73.8873051)"
47,40.8077811,-73.9529174,"(40.8077811, -73.9529174)"
48,40.7494646,-73.866556,"(40.7494646, -73.866556)"
49,40.6784553,-73.9496774,"(40.6784553, -73.9496774)"
50,40.6030691,-74.1404619,"(40.6030691, -74.1404619)"
51,40.6140087,-74.032636,"(40.6140087, -74.032636)"
52,40.718309,-73.9908443,"(40.718309, -73.9908443)"
53,40.7216488,-73.8095931,"(40.7216488, -73.8095931)"
54,40.6698646,-73.9505022,"(40.6698646, -73.9505022)"
55,40.7482897,-73.9881767,"(40.7482897, -73.9881767)"
57,40.8874462,-73.8780005,"(40.8874462, -73.8780005)"
58,40.6319582,-73.9427303,"(40.6319582, -73.9427303)"
59,40.810095,-73.9530783,"(40.810095, -73.9530783)"
60,40.6098096,-73.9224976,"(40.6098096, -73.9224976)"
61,40.6714586,-73.9910238,"(40.6714586, -73.9910238)"
62,40.7379624,-73.7929978,"(40.7379624, -73.7929978)"
63,40.7251925,-73.9870443,"(40.7251925, -73.9870443)"
64,40.8089731,-73.9483252,"(40.8089731, -73.9483252)"
65,40.8392682,-73.9038169,"(40.8392682, -73.9038169)"
66,40.6849643,-73.9354446,"(40.6849643, -73.9354446)"
67,40.7469199,-73.9712291,"(40.7469199, -73.9712291)"
69,40.729355,-73.7476569,"(40.729355, -73.7476569)"
70,40.6353727,-73.9881679,"(40.6353727, -73.9881679)"
71,40.6074402,-74.1604016,"(40.6074402, -74.1604016)"
72,40.7793641,-73.9773678,"(40.7793641, -73.9773678)"
73,40.7146219,-73.9011579,"(40.7146219, -73.9011579)"
74,40.7347702,-73.8615893,"(40.7347702, -73.8615893)"
75,40.7300177,-73.8234675,"(40.7300177, -73.8234675)"
76,40.7541222,-73.8813163,"(40.7541222, -73.8813163)"
77,40.6200234,-73.9417247,"(40.6200234, -73.9417247)"
79,40.7589235,-73.9996896,"(40.7589235, -73.9996896)"
80,40.6901548,-73.9986368,"(40.6901548, -73.9986368)"
81,40.7627199,-73.7281658,"(40.7627199, -73.7281658)"
82,40.8613373,-73.8667979,"(40.8613373, -73.8667979)"
83,40.7194838,-73.9912843,"(40.7194838, -73.9912843)"
84,40.6235876,-74.0827706,"(40.6235876, -74.0827706)"
85,40.5586353,-74.1619866,"(40.5586353, -74.1619866)"
86,40.8825154,-73.8903811,"(40.8825154, -73.8903811)"
87,40.6529272,-73.9593299,"(40.6529272, -73.9593299)"
88,40.7303349,-73.8676226,"(40.7303349, -73.8676226)"
91,40.7139419,-73.8487137,"(40.7139419, -73.8487137)"
92,40.7538318,-74.0071393,"(40.7538318, -74.0071393)"
93,40.8493074,-73.831309,"(40.8493074, -73.831309)"
94,40.6649325,-73.8019481,"(40.6649325, -73.8019481)"
95,40.7267569,-73.7141023,"(40.7267569, -73.7141023)"
96,40.6913537,-73.9214112,"(40.6913537, -73.9214112)"
97,40.5769818,-73.9815654,"(40.5769818, -73.9815654)"
98,40.7616682,-73.9749156,"(40.7616682, -73.9749156)"
99,40.7416789,-73.8675568,"(40.7416789, -73.8675568)"
100,40.8732226,-73.8374603,"(40.8732226, -73.8374603)"
101,40.7135219,-73.8148576,"(40.7135219, -73.8148576)"
102,40.6655654,-73.9893124,"(40.6655654, -73.9893124)"
103,40.7190253,-73.9897692,"(40.7190253, -73.9897692)"
105,40.6385239,-73.9731855,"(40.6385239, -73.9731855)"
106,40.6796405,-73.7314081,"(40.6796405, -73.7314081)"
107,40.6923473,-73.8817778,"(40.6923473, -73.8817778)"
109,40.7518401,-73.9035714,"(40.7518401, -73.9035714)"
110,40.6640184,-73.7685904,"(40.6640184, -73.7685904)"
111,40.6813891,-73.7535494,"(40.6813891, -73.7535494)"
