,latitude,longitude,location
0,40.6269303,-73.9969523,"(40.6269303, -73.9969523)"
1,40.6541334,-73.9123297,"(40.6541334, -73.9123297)"
2,40.7572323,-73.9897922,"(40.7572323, -73.9897922)"
4,40.6127337,-74.0117129,"(40.6127337, -74.0117129)"
5,40.8788714,-73.8856752,"(40.8788714, -73.8856752)"
6,40.6673148,-73.7392454,"(40.6673148, -73.7392454)"
7,40.849904,-73.8678184,"(40.849904, -73.8678184)"
8,40.7464925,-74.0013245,"(40.7464925, -74.0013245)"
9,40.6878729,-73.7974623,"(40.6878729, -73.7974623)"
10,40.7290105,-73.7384,"(40.7290105, -73.7384)"
11,40.6881735,-73.9839866,"(40.6881735, -73.9839866)"
12,40.727873,-73.9291223,"(40.727873, -73.9291223)"
13,40.7128072,-73.8521106,"(40.7128072, -73.8521106)"
14,40.8838608,-73.8558854,"(40.8838608, -73.8558854)"
15,40.6869302,-73.9848306,"(40.6869302, -73.9848306)"
16,40.6695546,-73.9449618,"(40.6695546, -73.9449618)"
17,40.6675224,-73.7806252,"(40.6675224, -73.7806252)"
18,40.8461393,-73.8617067,"(40.8461393, -73.8617067)"
19,40.839799,-73.8735956,"(40.839799, -73.8735956)"
20,40.7155546,-73.8261593,"(40.7155546, -73.8261593)"
21,40.7572855,-73.9781153,"(40.7572855, -73.9781153)"
23,40.6397952,-73.9291071,"(40.6397952, -73.9291071)"
25,40.6219951,-73.9949208,"(40.6219951, -73.9949208)"
26,40.8521459,-73.9174077,"(40.8521459, -73.9174077)"
27,40.8406495,-73.9190121,"(40.8406495, -73.9190121)"
28,40.6183407,-74.0301743,"(40.6183407, -74.0301743)"
29,40.5809462,-73.9326004,"(40.5809462, -73.9326004)"
30,40.8622592,-73.8958844,"(40.8622592, -73.8958844)"
31,40.7036879,-73.9091737,"(40.7036879, -73.9091737)"
32,40.6776723,-73.8033269,"(40.6776723, -73.8033269)"
33,40.7541768,-73.9845951,"(40.7541768, -73.9845951)"
34,40.6761007,-73.9063451,"(40.6761007, -73.9063451)"
35,40.7109076,-73.951644,"(40.7109076, -73.951644)"
37,40.6533796,-73.9065717,"(40.6533796, -73.9065717)"
38,40.765394,-73.9181903,"(40.765394, -73.9181903)"
39,40.7228913,-73.9402206,"(40.7228913, -73.9402206)"
40,40.6745502,-73.8455549,"(40.6745502, -73.8455549)"
41,40.7388307,-73.9831481,"(40.7388307, -73.9831481)"
42,40.6083847,-73.959159,"(40.6083847, -73.959159)"
43,40.7621739,-73.7567868,"(40.7621739, -73.7567868)"
44,40.7343865,-73.9802048,"(40.7343865, -73.9802048)"
