,latitude,longitude,location
1,40.68358,-73.97617,"(40.68358, -73.97617)"
4,0.0,0.0,"(0.0, 0.0)"
13,40.69754,-73.98312,"(40.69754, -73.98312)"
15,40.843464,-73.836,"(40.843464, -73.836)"
16,40.692547,-73.990974,"(40.692547, -73.990974)"
17,40.626457,-73.918,"(40.626457, -73.918)"
18,40.526894,-74.16728,"(40.526894, -74.16728)"
19,40.840775,-73.87246,"(40.840775, -73.87246)"
21,40.694035,-73.72679,"(40.694035, -73.72679)"
22,40.857365,-73.84657,"(40.857365, -73.84657)"
23,40.698807,-73.91837,"(40.698807, -73.91837)"
24,40.71402,-73.74827,"(40.71402, -73.74827)"
25,40.815,-73.89402,"(40.815, -73.89402)"
26,40.55079,-74.20098,"(40.55079, -74.20098)"
27,40.655903,-73.89817,"(40.655903, -73.89817)"
28,40.890076,-73.819855,"(40.890076, -73.819855)"
29,40.650402,-73.89422,"(40.650402, -73.89422)"
30,40.79335,-73.97275,"(40.79335, -73.97275)"
31,40.72538,-74.00011,"(40.72538, -74.00011)"
32,40.75184,-73.90358,"(40.75184, -73.90358)"
33,40.649788,-73.9622,"(40.649788, -73.9622)"
34,40.686928,-73.920815,"(40.686928, -73.920815)"
35,40.712963,-73.93647,"(40.712963, -73.93647)"
36,40.801285,-73.95394,"(40.801285, -73.95394)"
37,40.633976,-74.02211,"(40.633976, -74.02211)"
40,40.69168,-73.999344,"(40.69168, -73.999344)"
41,40.670296,-73.997604,"(40.670296, -73.997604)"
42,40.66423,-73.919106,"(40.66423, -73.919106)"
43,40.817696,-73.922615,"(40.817696, -73.922615)"
44,40.668495,-73.925606,"(40.668495, -73.925606)"
45,40.841087,-73.86447,"(40.841087, -73.86447)"
46,40.70955,-73.95887,"(40.70955, -73.95887)"
47,40.733376,-73.86665,"(40.733376, -73.86665)"
48,40.700356,-73.95732,"(40.700356, -73.95732)"
49,40.83801,-73.87329,"(40.83801, -73.87329)"
50,40.66584,-73.75551,"(40.66584, -73.75551)"
52,40.761436,-73.76995,"(40.761436, -73.76995)"
53,40.74958,-73.86541,"(40.74958, -73.86541)"
54,40.73197,-73.78651,"(40.73197, -73.78651)"
55,40.76249,-73.839584,"(40.76249, -73.839584)"
