,latitude,longitude,location
0,40.85358740100002,-73.90059135599995,"(40.85358740100002, -73.90059135599995)"
1,40.76511731800008,-73.95367097999997,"(40.76511731800008, -73.95367097999997)"
2,40.67564137900007,-73.89877282199996,"(40.67564137900007, -73.89877282199996)"
3,40.70478562700004,-73.96338250199994,"(40.70478562700004, -73.96338250199994)"
4,40.76912641200005,-73.73533396299997,"(40.76912641200005, -73.73533396299997)"
5,40.82191037600006,-73.903467704,"(40.82191037600006, -73.903467704)"
6,40.677949263000066,-73.90464589699997,"(40.677949263000066, -73.90464589699997)"
7,40.66460637300003,-73.95239629299994,"(40.66460637300003, -73.95239629299994)"
8,40.62194913700006,-73.91751744099997,"(40.62194913700006, -73.91751744099997)"
9,40.847650947000034,-73.90099420399997,"(40.847650947000034, -73.90099420399997)"
10,40.70548061200003,-73.95023912499995,"(40.70548061200003, -73.95023912499995)"
11,40.712231823000025,-73.80649762999997,"(40.712231823000025, -73.80649762999997)"
12,40.832825408000076,-73.94387058599993,"(40.832825408000076, -73.94387058599993)"
13,40.86333844800004,-73.89646978499997,"(40.86333844800004, -73.89646978499997)"
14,40.81794183300008,-73.84778502199998,"(40.81794183300008, -73.84778502199998)"
15,40.742196980000074,-73.97468254999995,"(40.742196980000074, -73.97468254999995)"
16,40.82338729100008,-73.87017045,"(40.82338729100008, -73.87017045)"
17,40.67514616200003,-73.91800323399997,"(40.67514616200003, -73.91800323399997)"
18,40.788721243000055,-73.93999677399995,"(40.788721243000055, -73.93999677399995)"
19,40.66892281900005,-73.88216500499993,"(40.66892281900005, -73.88216500499993)"
20,40.710576407000076,-73.90809082699997,"(40.710576407000076, -73.90809082699997)"
21,40.67521392200007,-73.95000213699996,"(40.67521392200007, -73.95000213699996)"
22,40.83256016900003,-73.93057623299995,"(40.83256016900003, -73.93057623299995)"
23,40.84915203700007,-73.935471077,"(40.84915203700007, -73.935471077)"
24,40.70638327300003,-74.00569297399994,"(40.70638327300003, -74.00569297399994)"
25,40.771086981000046,-73.91870826099995,"(40.771086981000046, -73.91870826099995)"
26,40.75124556000002,-73.97103740099993,"(40.75124556000002, -73.97103740099993)"
27,40.66308613500007,-73.91874976399998,"(40.66308613500007, -73.91874976399998)"
28,40.71815279100008,-73.99382912599998,"(40.71815279100008, -73.99382912599998)"
29,40.78612331400007,-73.94261356399994,"(40.78612331400007, -73.94261356399994)"
30,40.679344814000046,-73.94405023499998,"(40.679344814000046, -73.94405023499998)"
31,40.68112455700003,-73.95991264499997,"(40.68112455700003, -73.95991264499997)"
32,40.682666375000046,-73.91002579499997,"(40.682666375000046, -73.91002579499997)"
33,40.75043076800005,-73.98928217599996,"(40.75043076800005, -73.98928217599996)"
34,40.915047885000035,-73.908944122,"(40.915047885000035, -73.908944122)"
35,40.82338729100008,-73.87017045,"(40.82338729100008, -73.87017045)"
36,40.83778161800007,-73.91945797099999,"(40.83778161800007, -73.91945797099999)"
37,40.67120122100005,-73.95037644999996,"(40.67120122100005, -73.95037644999996)"
38,40.819435344000055,-73.91117405499993,"(40.819435344000055, -73.91117405499993)"
39,40.83391985800005,-73.82708161399995,"(40.83391985800005, -73.82708161399995)"
40,40.721614096000046,-73.99944226599996,"(40.721614096000046, -73.99944226599996)"
41,40.75001271600007,-73.98237430999995,"(40.75001271600007, -73.98237430999995)"
42,40.750296727000034,-73.99670987999998,"(40.750296727000034, -73.99670987999998)"
43,40.57758741600002,-73.97633607099993,"(40.57758741600002, -73.97633607099993)"
44,40.65245926800003,-73.96344005099996,"(40.65245926800003, -73.96344005099996)"
45,40.72871737500003,-73.99400133199998,"(40.72871737500003, -73.99400133199998)"
46,40.66793105700003,-73.90492696799998,"(40.66793105700003, -73.90492696799998)"
47,40.82487717500004,-73.90317795599998,"(40.82487717500004, -73.90317795599998)"
48,40.742283127000064,-73.883063753,"(40.742283127000064, -73.883063753)"
49,40.61071712900008,-73.92098528299994,"(40.61071712900008, -73.92098528299994)"
50,40.76956124200007,-73.91536344699995,"(40.76956124200007, -73.91536344699995)"
51,40.756594678000056,-73.87560301799994,"(40.756594678000056, -73.87560301799994)"
52,40.79863330000006,-73.94162037099994,"(40.79863330000006, -73.94162037099994)"
53,40.66858395700007,-73.92697993199994,"(40.66858395700007, -73.92697993199994)"
54,46.14318549500007,-73.86899582799998,"(46.14318549500007, -73.86899582799998)"
55,40.752969353000026,-73.87353081699997,"(40.752969353000026, -73.87353081699997)"
56,40.59464574000003,-73.93301284799998,"(40.59464574000003, -73.93301284799998)"
57,40.75002197300005,-73.99133946299997,"(40.75002197300005, -73.99133946299997)"
58,40.83707352300007,-73.88682182899998,"(40.83707352300007, -73.88682182899998)"
59,40.798193324000074,-73.96735102799995,"(40.798193324000074, -73.96735102799995)"
60,40.81881067200004,-73.95602533699997,"(40.81881067200004, -73.95602533699997)"
61,40.82291230800007,-73.87004130399998,"(40.82291230800007, -73.87004130399998)"
62,40.737157086000025,-73.98858065999997,"(40.737157086000025, -73.98858065999997)"
63,40.669193922000034,-73.90524959899994,"(40.669193922000034, -73.90524959899994)"
64,40.60430100100007,-73.96064301399997,"(40.60430100100007, -73.96064301399997)"
65,40.72437511400005,-73.99303844699995,"(40.72437511400005, -73.99303844699995)"
66,40.869559485000025,-73.91518555599998,"(40.869559485000025, -73.91518555599998)"
67,40.76298671800004,-73.83197303999998,"(40.76298671800004, -73.83197303999998)"
68,40.65351507200006,-73.96060317099993,"(40.65351507200006, -73.96060317099993)"
69,40.72277749400007,-73.99061424999996,"(40.72277749400007, -73.99061424999996)"
70,40.723889462000045,-73.99695290299998,"(40.723889462000045, -73.99695290299998)"
71,40.62070735400005,-73.91227421699995,"(40.62070735400005, -73.91227421699995)"
72,40.73392684100002,-73.87158239799999,"(40.73392684100002, -73.87158239799999)"
73,40.79781767700007,-73.93564002399995,"(40.79781767700007, -73.93564002399995)"
74,40.69594126800007,-73.90466704699998,"(40.69594126800007, -73.90466704699998)"
75,40.81394275900004,-73.95219916699995,"(40.81394275900004, -73.95219916699995)"
76,40.85959631600008,-73.86605807199999,"(40.85959631600008, -73.86605807199999)"
77,40.834516921000045,-73.91770925599997,"(40.834516921000045, -73.91770925599997)"
78,40.893400550000074,-73.85737076599996,"(40.893400550000074, -73.85737076599996)"
79,40.68740161900007,-73.94036919399997,"(40.68740161900007, -73.94036919399997)"
80,40.64870676900005,-73.90513094099998,"(40.64870676900005, -73.90513094099998)"
81,40.82573486900003,-73.92319060499993,"(40.82573486900003, -73.92319060499993)"
82,40.915047885000035,-73.908944122,"(40.915047885000035, -73.908944122)"
83,40.83349957600007,-73.86137666999997,"(40.83349957600007, -73.86137666999997)"
84,40.70451983100002,-73.89347040299998,"(40.70451983100002, -73.89347040299998)"
85,40.681926389000076,-73.86602914199995,"(40.681926389000076, -73.86602914199995)"
86,40.75710533000005,-73.91500748999994,"(40.75710533000005, -73.91500748999994)"
87,40.84869160200003,-73.88378032499998,"(40.84869160200003, -73.88378032499998)"
88,40.688872153000034,-73.94452903199993,"(40.688872153000034, -73.94452903199993)"
89,40.68057825600005,-73.95246421199994,"(40.68057825600005, -73.95246421199994)"
90,40.79762144400007,-73.96406823499996,"(40.79762144400007, -73.96406823499996)"
91,40.87626694900007,-73.90394927199996,"(40.87626694900007, -73.90394927199996)"
92,40.66961517100003,-73.90683872199997,"(40.66961517100003, -73.90683872199997)"
93,40.82960971700004,-73.94620760599996,"(40.82960971700004, -73.94620760599996)"
94,40.83192361000005,-73.93093464299993,"(40.83192361000005, -73.93093464299993)"
95,40.744755468000044,-73.86488148999997,"(40.744755468000044, -73.86488148999997)"
96,40.70336656300003,-73.81167364899994,"(40.70336656300003, -73.81167364899994)"
97,40.81077276700007,-73.95259158999993,"(40.81077276700007, -73.95259158999993)"
98,40.83743666500004,-73.94415942299997,"(40.83743666500004, -73.94415942299997)"
99,40.85395000000005,-73.91467769899998,"(40.85395000000005, -73.91467769899998)"
100,40.88258651500007,-73.90221152199997,"(40.88258651500007, -73.90221152199997)"
101,40.637303985000074,-73.96822601699995,"(40.637303985000074, -73.96822601699995)"
102,40.80837413600005,-73.94688582299993,"(40.80837413600005, -73.94688582299993)"
103,40.86472467400005,-73.89068300599996,"(40.86472467400005, -73.89068300599996)"
104,40.85028196300004,-73.82766079099997,"(40.85028196300004, -73.82766079099997)"
105,40.82305625200007,-73.94242273799993,"(40.82305625200007, -73.94242273799993)"
106,40.67603887300004,-73.94157265999998,"(40.67603887300004, -73.94157265999998)"
107,40.72533274800003,-73.97267218299999,"(40.72533274800003, -73.97267218299999)"
108,40.64886713300007,-73.95082189999994,"(40.64886713300007, -73.95082189999994)"
109,40.73392684100002,-73.87158239799999,"(40.73392684100002, -73.87158239799999)"
110,40.700511239000036,-73.94154039399997,"(40.700511239000036, -73.94154039399997)"
111,40.84309611400005,-73.84493006299994,"(40.84309611400005, -73.84493006299994)"
112,40.65788646700002,-73.91354085199998,"(40.65788646700002, -73.91354085199998)"
113,40.78807702700004,-73.94723424799997,"(40.78807702700004, -73.94723424799997)"
114,40.82366837800004,-73.91205724199995,"(40.82366837800004, -73.91205724199995)"
115,40.82573469500005,-73.91892694799998,"(40.82573469500005, -73.91892694799998)"
116,40.66173814100006,-73.88330226499993,"(40.66173814100006, -73.88330226499993)"
117,40.72024341700006,-73.98447816799995,"(40.72024341700006, -73.98447816799995)"
118,40.65219745600007,-73.94106016599994,"(40.65219745600007, -73.94106016599994)"
119,40.67088481300004,-73.92814178899994,"(40.67088481300004, -73.92814178899994)"
120,40.79409372500004,-73.936810155,"(40.79409372500004, -73.936810155)"
121,40.72985628600002,-73.99142867599994,"(40.72985628600002, -73.99142867599994)"
122,40.72628777500006,-73.98779600499995,"(40.72628777500006, -73.98779600499995)"
123,40.837001024000074,-73.90370600899996,"(40.837001024000074, -73.90370600899996)"
124,40.74679664000007,-73.98845269299993,"(40.74679664000007, -73.98845269299993)"
