,latitude,longitude,location
0,40.7518401,-73.9035714,"(40.7518401, -73.9035714)"
1,40.6661246,-73.9313824,"(40.6661246, -73.9313824)"
4,40.6341982,-74.0266794,"(40.6341982, -74.0266794)"
5,40.7025952,-73.8552926,"(40.7025952, -73.8552926)"
6,40.7353396,-73.916885,"(40.7353396, -73.916885)"
7,40.7216783,-73.9806054,"(40.7216783, -73.9806054)"
8,40.7250737,-73.9812105,"(40.7250737, -73.9812105)"
9,40.583669,-73.9484276,"(40.583669, -73.9484276)"
10,40.8676918,-73.9212136,"(40.8676918, -73.9212136)"
11,40.7054724,-73.9502377,"(40.7054724, -73.9502377)"
12,40.7387182,-73.7400875,"(40.7387182, -73.7400875)"
13,40.7387967,-73.977147,"(40.7387967, -73.977147)"
14,40.5365664,-74.1564827,"(40.5365664, -74.1564827)"
15,40.6767452,-73.9331525,"(40.6767452, -73.9331525)"
18,40.6587795,-73.9605193,"(40.6587795, -73.9605193)"
20,40.7189626,-74.0012734,"(40.7189626, -74.0012734)"
21,40.7073911,-73.9505284,"(40.7073911, -73.9505284)"
23,40.7543373,-73.9249535,"(40.7543373, -73.9249535)"
24,40.69609,-73.9753213,"(40.69609, -73.9753213)"
25,40.7045526,-73.9166095,"(40.7045526, -73.9166095)"
26,40.7146912,-73.9426881,"(40.7146912, -73.9426881)"
27,40.7433773,-73.8358983,"(40.7433773, -73.8358983)"
28,40.7749285,-73.9507996,"(40.7749285, -73.9507996)"
29,40.6076704,-74.0335894,"(40.6076704, -74.0335894)"
31,40.6135884,-74.0826645,"(40.6135884, -74.0826645)"
32,40.7624202,-73.8275149,"(40.7624202, -73.8275149)"
33,40.6276429,-73.8902159,"(40.6276429, -73.8902159)"
34,40.7589746,-73.9189996,"(40.7589746, -73.9189996)"
35,40.6224636,-74.0725352,"(40.6224636, -74.0725352)"
37,40.7575342,-73.8665687,"(40.7575342, -73.8665687)"
38,40.8100528,-73.9251435,"(40.8100528, -73.9251435)"
39,40.8489388,-73.9370711,"(40.8489388, -73.9370711)"
40,40.7328333,-73.9741445,"(40.7328333, -73.9741445)"
41,40.6495419,-73.8994705,"(40.6495419, -73.8994705)"
42,40.7710646,-73.9596441,"(40.7710646, -73.9596441)"
43,40.8504784,-73.9154253,"(40.8504784, -73.9154253)"
44,40.7667145,-73.9828775,"(40.7667145, -73.9828775)"
45,40.7440288,-73.9261524,"(40.7440288, -73.9261524)"
46,40.7583388,-73.9964084,"(40.7583388, -73.9964084)"
47,40.758981,-73.9959428,"(40.758981, -73.9959428)"
48,40.6872294,-73.941785,"(40.6872294, -73.941785)"
49,40.6945561,-73.9961739,"(40.6945561, -73.9961739)"
50,40.7428118,-73.9965789,"(40.7428118, -73.9965789)"
51,40.7912437,-73.979397,"(40.7912437, -73.979397)"
52,40.7131354,-74.0040581,"(40.7131354, -74.0040581)"
53,40.7432163,-73.9071602,"(40.7432163, -73.9071602)"
54,40.7268658,-73.9799076,"(40.7268658, -73.9799076)"
55,40.7246918,-73.7540928,"(40.7246918, -73.7540928)"
56,40.6318384,-73.944629,"(40.6318384, -73.944629)"
57,40.7376745,-73.930237,"(40.7376745, -73.930237)"
58,40.7621739,-73.7567868,"(40.7621739, -73.7567868)"
59,40.6543162,-73.9221576,"(40.6543162, -73.9221576)"
60,40.8953759,-73.8635575,"(40.8953759, -73.8635575)"
62,40.7387096,-73.7019118,"(40.7387096, -73.7019118)"
63,40.7532186,-73.9225726,"(40.7532186, -73.9225726)"
64,40.829502,-73.8880546,"(40.829502, -73.8880546)"
65,40.7382845,-73.8029526,"(40.7382845, -73.8029526)"
67,40.6076439,-74.0337404,"(40.6076439, -74.0337404)"
69,40.7679171,-73.9857147,"(40.7679171, -73.9857147)"
71,40.5776108,-73.9614421,"(40.5776108, -73.9614421)"
74,40.683019,-73.8423696,"(40.683019, -73.8423696)"
75,40.6776736,-73.9135859,"(40.6776736, -73.9135859)"
76,40.7495516,-73.8861679,"(40.7495516, -73.8861679)"
77,40.7553005,-73.9753439,"(40.7553005, -73.9753439)"
78,40.6794843,-73.9328974,"(40.6794843, -73.9328974)"
81,40.7513493,-73.7422409,"(40.7513493, -73.7422409)"
82,40.6523139,-73.9560111,"(40.6523139, -73.9560111)"
83,40.7188119,-73.8906359,"(40.7188119, -73.8906359)"
84,40.7155647,-73.7575823,"(40.7155647, -73.7575823)"
85,40.7478919,-73.9053492,"(40.7478919, -73.9053492)"
86,40.7428639,-74.0039696,"(40.7428639, -74.0039696)"
87,40.6973321,-73.7620122,"(40.6973321, -73.7620122)"
88,40.6867634,-73.9328143,"(40.6867634, -73.9328143)"
89,40.8660891,-73.8826747,"(40.8660891, -73.8826747)"
90,40.6952888,-73.9433863,"(40.6952888, -73.9433863)"
91,40.6826644,-73.8681391,"(40.6826644, -73.8681391)"
92,40.7659833,-73.9654448,"(40.7659833, -73.9654448)"
93,40.5293383,-74.1669122,"(40.5293383, -74.1669122)"
95,40.7601976,-73.9016594,"(40.7601976, -73.9016594)"
96,40.8070898,-73.9417705,"(40.8070898, -73.9417705)"
97,40.8179243,-73.9497309,"(40.8179243, -73.9497309)"
99,40.7703076,-73.9190002,"(40.7703076, -73.9190002)"
100,40.8541683,-73.9337044,"(40.8541683, -73.9337044)"
102,40.822689,-73.9494635,"(40.822689, -73.9494635)"
103,40.6837264,-73.9679609,"(40.6837264, -73.9679609)"
104,40.6954477,-73.8115648,"(40.6954477, -73.8115648)"
105,40.7025579,-73.9103257,"(40.7025579, -73.9103257)"
106,40.6553345,-73.9307664,"(40.6553345, -73.9307664)"
107,40.8423486,-73.8983515,"(40.8423486, -73.8983515)"
108,40.8468268,-73.8970434,"(40.8468268, -73.8970434)"
109,40.8410869,-73.8644784,"(40.8410869, -73.8644784)"
110,40.7634301,-73.9927008,"(40.7634301, -73.9927008)"
111,40.7671539,-73.8836865,"(40.7671539, -73.8836865)"
112,40.7653647,-73.987578,"(40.7653647, -73.987578)"
113,40.6459976,-74.0164389,"(40.6459976, -74.0164389)"
114,40.845889,-73.9150806,"(40.845889, -73.9150806)"
117,40.7489935,-73.8968698,"(40.7489935, -73.8968698)"
119,40.6665019,-73.9961894,"(40.6665019, -73.9961894)"
120,40.8661535,-73.8615422,"(40.8661535, -73.8615422)"
121,40.7301935,-73.7775757,"(40.7301935, -73.7775757)"
122,40.7115928,-73.9942647,"(40.7115928, -73.9942647)"
123,40.6835142,-73.9759509,"(40.6835142, -73.9759509)"
124,40.6974205,-73.9313394,"(40.6974205, -73.9313394)"
125,40.7470379,-73.8895718,"(40.7470379, -73.8895718)"
126,40.7446403,-73.8335444,"(40.7446403, -73.8335444)"
127,40.6064564,-73.989131,"(40.6064564, -73.989131)"
129,40.6605095,-73.9628143,"(40.6605095, -73.9628143)"
130,40.716518,-73.7742484,"(40.716518, -73.7742484)"
131,40.7359179,-73.89138,"(40.7359179, -73.89138)"
132,40.6904041,-73.9035882,"(40.6904041, -73.9035882)"
133,40.6631828,-73.9624487,"(40.6631828, -73.9624487)"
134,40.67972,-73.7734681,"(40.67972, -73.7734681)"
135,40.7577537,-73.7833817,"(40.7577537, -73.7833817)"
137,40.7110702,-73.7920281,"(40.7110702, -73.7920281)"
138,40.7005141,-73.7967711,"(40.7005141, -73.7967711)"
139,40.7151846,-73.8232399,"(40.7151846, -73.8232399)"
140,40.7584837,-73.820046,"(40.7584837, -73.820046)"
141,40.7254507,-73.8377671,"(40.7254507, -73.8377671)"
142,40.7565458,-73.8063928,"(40.7565458, -73.8063928)"
143,40.8134382,-73.9413458,"(40.8134382, -73.9413458)"
144,40.6326058,-73.9322419,"(40.6326058, -73.9322419)"
145,40.7057624,-73.8016567,"(40.7057624, -73.8016567)"
146,40.7864855,-73.9721726,"(40.7864855, -73.9721726)"
148,40.6347476,-74.1122528,"(40.6347476, -74.1122528)"
149,40.8216382,-73.9390768,"(40.8216382, -73.9390768)"
150,40.8843001,-73.9033106,"(40.8843001, -73.9033106)"
151,40.8440499,-73.9411417,"(40.8440499, -73.9411417)"
152,40.8128929,-73.9201189,"(40.8128929, -73.9201189)"
154,40.7801253,-73.9530344,"(40.7801253, -73.9530344)"
155,40.8541683,-73.9337044,"(40.8541683, -73.9337044)"
156,40.6090553,-73.9367606,"(40.6090553, -73.9367606)"
157,40.7424448,-73.9302248,"(40.7424448, -73.9302248)"
158,40.5915981,-73.9606815,"(40.5915981, -73.9606815)"
159,40.7172094,-73.9347028,"(40.7172094, -73.9347028)"
160,40.7264469,-73.7657842,"(40.7264469, -73.7657842)"
162,40.6940516,-73.8280091,"(40.6940516, -73.8280091)"
163,40.571585,-74.1086335,"(40.571585, -74.1086335)"
