,latitude,longitude,location
0,40.6239626,-73.9724457,"(40.6239626, -73.9724457)"
2,40.6251048,-74.1487686,"(40.6251048, -74.1487686)"
3,40.7199166,-73.7531328,"(40.7199166, -73.7531328)"
4,40.7255825,-73.9898692,"(40.7255825, -73.9898692)"
5,40.6884117,-73.8479278,"(40.6884117, -73.8479278)"
6,40.717996,-73.9021017,"(40.717996, -73.9021017)"
8,40.8420773,-73.8347138,"(40.8420773, -73.8347138)"
9,40.901637,-73.8506631,"(40.901637, -73.8506631)"
10,40.8992486,-73.8460818,"(40.8992486, -73.8460818)"
11,40.7573878,-73.9822554,"(40.7573878, -73.9822554)"
12,40.7326034,-73.9876815,"(40.7326034, -73.9876815)"
14,40.7621051,-73.8354248,"(40.7621051, -73.8354248)"
16,40.8373708,-73.8877667,"(40.8373708, -73.8877667)"
17,40.6385252,-73.9260638,"(40.6385252, -73.9260638)"
19,40.5337502,-74.1544723,"(40.5337502, -74.1544723)"
20,40.6892997,-73.874054,"(40.6892997, -73.874054)"
21,40.6077998,-73.8193105,"(40.6077998, -73.8193105)"
22,40.6516965,-73.9496688,"(40.6516965, -73.9496688)"
23,40.7373607,-73.996839,"(40.7373607, -73.996839)"
24,40.7870023,-73.9755127,"(40.7870023, -73.9755127)"
27,40.6668225,-73.8816554,"(40.6668225, -73.8816554)"
29,40.8443435,-73.9147428,"(40.8443435, -73.9147428)"
30,40.7366018,-73.9818424,"(40.7366018, -73.9818424)"
31,40.8448213,-73.836988,"(40.8448213, -73.836988)"
32,40.7491025,-73.9920058,"(40.7491025, -73.9920058)"
33,40.6105032,-73.9576666,"(40.6105032, -73.9576666)"
34,40.690993,-73.9893083,"(40.690993, -73.9893083)"
35,40.6604716,-73.998014,"(40.6604716, -73.998014)"
36,40.8495611,-73.8340012,"(40.8495611, -73.8340012)"
38,40.68424,-73.838076,"(40.68424, -73.838076)"
39,40.800663,-73.944355,"(40.800663, -73.944355)"
40,40.7262967,-73.8410333,"(40.7262967, -73.8410333)"
41,40.7741862,-73.8129775,"(40.7741862, -73.8129775)"
42,40.5808187,-73.9402721,"(40.5808187, -73.9402721)"
44,40.7478815,-73.9754224,"(40.7478815, -73.9754224)"
46,40.7056051,-73.946263,"(40.7056051, -73.946263)"
47,40.6710727,-73.8090778,"(40.6710727, -73.8090778)"
48,40.6311515,-74.0084556,"(40.6311515, -74.0084556)"
50,40.7015297,-73.9231339,"(40.7015297, -73.9231339)"
51,40.7426584,-73.8462052,"(40.7426584, -73.8462052)"
