,latitude,longitude,location
0,40.69199,-73.89257,"(40.69199, -73.89257)"
1,40.760532,-73.90229,"(40.760532, -73.90229)"
2,40.689804,-73.97794,"(40.689804, -73.97794)"
3,40.67875,-73.8205,"(40.67875, -73.8205)"
4,40.609642,-73.89738,"(40.609642, -73.89738)"
5,40.79465,-73.971794,"(40.79465, -73.971794)"
7,40.665916,-73.92547,"(40.665916, -73.92547)"
8,40.77622,-73.97596,"(40.77622, -73.97596)"
9,40.67581,-73.739555,"(40.67581, -73.739555)"
10,40.68005,-73.94327,"(40.68005, -73.94327)"
11,40.74665,-73.969124,"(40.74665, -73.969124)"
12,40.758427,-73.99264,"(40.758427, -73.99264)"
13,40.778206,-73.913666,"(40.778206, -73.913666)"
14,40.80405,-73.91737,"(40.80405, -73.91737)"
15,40.75458,-73.99915,"(40.75458, -73.99915)"
17,40.701706,-73.99144,"(40.701706, -73.99144)"
18,40.65138,-73.93778,"(40.65138, -73.93778)"
19,40.81734,-73.92255,"(40.81734, -73.92255)"
20,40.761093,-73.98327,"(40.761093, -73.98327)"
21,40.744923,-73.83709,"(40.744923, -73.83709)"
22,40.717308,-73.73985,"(40.717308, -73.73985)"
23,40.778564,-73.7682,"(40.778564, -73.7682)"
24,40.666233,-73.761,"(40.666233, -73.761)"
25,40.662132,-73.911736,"(40.662132, -73.911736)"
26,40.717484,-73.951164,"(40.717484, -73.951164)"
27,40.73319,-73.866875,"(40.73319, -73.866875)"
28,40.688744,-73.90875,"(40.688744, -73.90875)"
29,40.630867,-73.92234,"(40.630867, -73.92234)"
30,40.825294,-73.95373,"(40.825294, -73.95373)"
31,40.590443,-73.97116,"(40.590443, -73.97116)"
32,40.594616,-74.12555,"(40.594616, -74.12555)"
33,40.80777,-73.94549,"(40.80777, -73.94549)"
34,40.64484,-73.898865,"(40.64484, -73.898865)"
35,40.833755,-73.87407,"(40.833755, -73.87407)"
37,40.669476,-73.919975,"(40.669476, -73.919975)"
39,40.69168,-73.999344,"(40.69168, -73.999344)"
40,40.621216,-73.93539,"(40.621216, -73.93539)"
41,40.666443,-73.90026,"(40.666443, -73.90026)"
42,40.84525,-73.91499,"(40.84525, -73.91499)"
44,40.714104,-73.95322,"(40.714104, -73.95322)"
45,40.7453,-73.986855,"(40.7453, -73.986855)"
46,40.602768,-73.75012,"(40.602768, -73.75012)"
47,40.59887,-73.976944,"(40.59887, -73.976944)"
48,40.691277,-73.746254,"(40.691277, -73.746254)"
49,40.89945,-73.86147,"(40.89945, -73.86147)"
50,40.74654,-73.878235,"(40.74654, -73.878235)"
51,40.727367,-73.77728,"(40.727367, -73.77728)"
52,40.62186,-74.07207,"(40.62186, -74.07207)"
53,40.809483,-73.85423,"(40.809483, -73.85423)"
54,40.67117,-73.92534,"(40.67117, -73.92534)"
55,40.888554,-73.841064,"(40.888554, -73.841064)"
56,40.627052,-74.16485,"(40.627052, -74.16485)"
57,40.676224,-73.79924,"(40.676224, -73.79924)"
59,40.8122,-73.94226,"(40.8122, -73.94226)"
60,40.75587,-73.972824,"(40.75587, -73.972824)"
61,40.698544,-73.96236,"(40.698544, -73.96236)"
62,40.677658,-73.89837,"(40.677658, -73.89837)"
63,40.66873,-73.729095,"(40.66873, -73.729095)"
64,40.663754,-73.937164,"(40.663754, -73.937164)"
65,40.648464,-74.00683,"(40.648464, -74.00683)"
66,40.6663,-73.95665,"(40.6663, -73.95665)"
67,40.75919,-73.80981,"(40.75919, -73.80981)"
68,40.664192,-73.841125,"(40.664192, -73.841125)"
69,40.75271,-73.74144,"(40.75271, -73.74144)"
70,40.633408,-73.918755,"(40.633408, -73.918755)"
71,40.724964,-73.94155,"(40.724964, -73.94155)"
72,40.759567,-73.83015,"(40.759567, -73.83015)"
73,40.784325,-73.94225,"(40.784325, -73.94225)"
74,40.89675,-73.85988,"(40.89675, -73.85988)"
75,40.70831,-74.00504,"(40.70831, -74.00504)"
76,40.58977,-73.93792,"(40.58977, -73.93792)"
77,40.70791,-73.91081,"(40.70791, -73.91081)"
78,40.664375,-73.92376,"(40.664375, -73.92376)"
80,40.745724,-73.97813,"(40.745724, -73.97813)"
81,40.767326,-73.88264,"(40.767326, -73.88264)"
82,40.856316,-73.86665,"(40.856316, -73.86665)"
83,40.688904,-73.980934,"(40.688904, -73.980934)"
84,40.653805,-73.93061,"(40.653805, -73.93061)"
85,40.67604,-73.84352,"(40.67604, -73.84352)"
86,40.84518,-73.91417,"(40.84518, -73.91417)"
87,40.720318,-74.012184,"(40.720318, -74.012184)"
88,40.605278,-73.98114,"(40.605278, -73.98114)"
89,40.78202,-73.97173,"(40.78202, -73.97173)"
90,40.72293,-73.98865,"(40.72293, -73.98865)"
91,40.708263,-73.955124,"(40.708263, -73.955124)"
92,40.61365,-73.923386,"(40.61365, -73.923386)"
93,40.7145,-73.9988,"(40.7145, -73.9988)"
94,40.67461,-73.80428,"(40.67461, -73.80428)"
95,40.846775,-73.85309,"(40.846775, -73.85309)"
96,40.88742,-73.89449,"(40.88742, -73.89449)"
97,40.741547,-73.98958,"(40.741547, -73.98958)"
98,40.749752,-73.90971,"(40.749752, -73.90971)"
99,40.678993,-73.86435,"(40.678993, -73.86435)"
100,40.88034,-73.82778,"(40.88034, -73.82778)"
101,40.849575,-73.83044,"(40.849575, -73.83044)"
102,40.791965,-73.9456,"(40.791965, -73.9456)"
103,40.886806,-73.83022,"(40.886806, -73.83022)"
104,40.70242,-73.9867,"(40.70242, -73.9867)"
105,40.64419,-73.93349,"(40.64419, -73.93349)"
106,40.692055,-73.982544,"(40.692055, -73.982544)"
107,40.85738,-73.92973,"(40.85738, -73.92973)"
108,40.74877,-73.893616,"(40.74877, -73.893616)"
109,40.633183,-73.90814,"(40.633183, -73.90814)"
110,40.843678,-73.89426,"(40.843678, -73.89426)"
111,40.765713,-73.90692,"(40.765713, -73.90692)"
112,40.683464,-73.97569,"(40.683464, -73.97569)"
113,40.65116,-73.88994,"(40.65116, -73.88994)"
114,40.597168,-73.97149,"(40.597168, -73.97149)"
115,40.67771,-73.88974,"(40.67771, -73.88974)"
116,40.578197,-74.11703,"(40.578197, -74.11703)"
117,40.81728,-73.92788,"(40.81728, -73.92788)"
